 Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Reliance Industries","https://scanx.trade/company/reliance-industries-ltd","1,387.80","-0.44%","1,389.50","57,97,145","18,78,036.55","19.29","10.47","1,611.80","1,114.85","-11.33%","-5.39%","6.31%","25.16%","48.80%","2.15","0.39%","8.54%","8.71%","101.61","1,528.53","1,435.44","24.43","78.00%","91.00%"
"HDFC Bank","https://scanx.trade/company/hdfc-bank-ltd","927.25","-0.42%","925.00","1,49,39,606","14,26,534.92","18.50","8.47","1,020.50","812.73","-5.91%","-7.55%","12.31%","11.65%","24.30%","2.56","1.18%","13.93%","6.38%","89.49","983.43","976.24","29.34","78.00%","91.00%"
"Bharti Airtel","https://scanx.trade/company/bharti-airtel-ltd","1,998.30","0.12%","1,977.00","37,23,832","11,39,451.71","25.39","-1.62","2,174.50","1,559.50","-4.74%","-2.59%","21.76%","161.40%","241.50%","9.63","0.78%","8.11%","18.01%","21.42","2,091.53","1,952.19","31.38","78.00%","91.00%"
"Tata Consultancy Services","https://scanx.trade/company/tcs-tata-consultancy-services-ltd","3,123.80","0.69%","3,100.00","7,85,688","11,30,218.18","23.45","32.67","4,191.35","2,866.60","-4.82%","3.60%","-23.39%","-7.12%","-5.59%","10.63","4.06%","50.48%","62.02%","131.54","3,193.85","3,225.88","37.64","78.00%","91.00%"
"ICICI Bank","https://scanx.trade/company/icici-bank-ltd","1,349.00","-1.95%","1,367.50","1,10,33,338","9,64,560.87","17.38","8.47","1,500.00","1,186.00","-0.38%","-2.97%","9.41%","55.00%","144.83%","2.87","0.80%","16.67%","6.13%","64.38","1,376.52","1,403.28","47.04","78.00%","91.00%"
"State Bank of India","https://scanx.trade/company/state-bank-of-india-ltd","1,027.95","-0.82%","1,032.00","31,95,292","9,48,861.33","11.42","9.89","1,052.00","680.00","4.86%","13.27%","31.92%","73.58%","239.76%","1.77","1.48%","15.83%","5.57%","81.94","980.72","862.76","70.12","78.00%","91.00%"
"Infosys","https://scanx.trade/company/infosys-ltd","1,645.60","-0.80%","1,651.00","30,63,804","6,67,228.99","24.00","32.67","1,924.00","1,307.00","0.42%","12.64%","-9.25%","7.87%","22.86%","8.99","2.66%","29.67%","35.85%","64.20","1,594.68","1,538.73","57.49","78.00%","90.53%"
"Bajaj Finance","https://scanx.trade/company/bajaj-finance-ltd","935.65","0.26%","925.00","25,73,379","5,82,206.52","31.28","-1.73","1,102.50","718.21","-7.21%","-13.45%","25.76%","59.66%","87.81%","5.63","0.60%","18.84%","10.98%","241.14","1,000.69","955.99","32.97","76.00%","89.83%"
"Hindustan Unilever","https://scanx.trade/company/hindustan-unilever-ltd","2,388.70","0.40%","2,379.10","5,38,058","5,61,246.86","51.11","46.58","2,705.09","2,101.12","4.77%","-6.40%","3.55%","-4.72%","3.07%","11.46","2.23%","19.99%","23.38%","43.99","2,354.61","2,395.98","53.18","78.00%","91.00%"
"Larsen & Toubro","https://scanx.trade/company/lt-larsen-toubro-ltd","3,733.20","-2.03%","3,800.00","11,89,023","5,13,531.85","27.39","10.96","4,195.00","2,965.30","-8.35%","-3.60%","3.90%","65.92%","170.00%","5.17","0.89%","15.18%","18.71%","96.60","4,023.76","3,700.17","27.35","76.00%","91.00%"
"LIC of India","https://scanx.trade/company/lic-of-india-ltd","807.15","-0.25%","808.95","4,79,918","5,10,522.19","10.02","-1.73","980.00","715.30","-5.26%","-9.50%","-6.04%","15.55%","-7.78%","3.61","1.48%","49.36%","0.87%","66.13","866.22","881.05","27.21","76.00%","87.50%"
"Maruti Suzuki","https://scanx.trade/company/maruti-suzuki-ltd","15,740.00","-0.88%","15,675.00","1,95,954","4,94,869.65","33.78","36.34","17,370.00","11,059.45","-4.11%","-4.16%","30.95%","86.50%","93.25%","5.01","0.85%","15.75%","19.54%","467.71","16,253.98","14,241.05","38.96","78.00%","91.00%"
"HCL Technologies","https://scanx.trade/company/hcl-technologies-ltd","1,676.60","-0.63%","1,687.60","9,26,631","4,54,973.09","27.85","32.67","1,831.45","1,302.75","2.08%","12.12%","-6.66%","51.35%","67.79%","6.44","3.55%","23.01%","30.84%","60.53","1,642.39","1,569.80","58.04","76.00%","90.98%"
"Mahindra & Mahindra","https://scanx.trade/company/mahindra-mahindra-ltd","3,555.90","-0.04%","3,543.00","7,68,189","4,42,186.42","28.50","36.34","3,839.90","2,425.00","-1.32%","-1.20%","23.12%","170.46%","331.28%","5.33","0.69%","15.83%","15.04%","88.80","3,682.16","3,329.56","35.16","76.00%","89.75%"
"Kotak Bank","https://scanx.trade/company/kotak-mahindra-bank-ltd","418.70","-1.20%","422.10","94,11,296","4,16,417.79","22.68","8.47","460.38","372.55","-3.06%","-5.43%","9.01%","18.75%","11.14%","2.51","0.12%","13.83%","6.51%","93.78","427.03","421.06","44.28","78.00%","91.00%"
"ITC","https://scanx.trade/company/itc-ltd","325.20","-0.34%","326.00","78,06,450","4,07,435.42","11.57","16.82","471.50","325.50","-18.91%","-21.27%","-25.70%","2.74%","57.94%","5.75","4.39%","27.71%","36.57%","16.36","387.11","408.69","16.40","78.00%","91.00%"
"Axis Bank","https://scanx.trade/company/axis-bank-ltd","1,274.80","-1.45%","1,290.00","16,94,765","3,95,760.20","15.36","8.47","1,327.00","933.50","3.59%","3.98%","29.02%","36.99%","88.65%","2.03","0.08%","16.77%","6.50%","86.46","1,263.52","1,180.83","57.46","78.00%","91.00%"
"Sun Pharmaceutical","https://scanx.trade/company/sun-pharmaceutical-ltd","1,618.70","0.30%","1,637.00","14,59,386","3,88,380.35","36.89","17.88","1,851.20","1,548.00","-7.23%","-4.14%","-8.97%","57.10%","172.19%","4.97","0.99%","14.38%","18.92%","43.95","1,756.81","1,696.46","26.52","78.00%","91.00%"
"Titan","https://scanx.trade/company/titan-ltd","4,078.70","0.08%","4,075.50","2,69,099","3,62,101.34","87.57","-11.85","4,312.10","2,925.00","3.78%","9.14%","20.59%","72.00%","166.36%","28.24","0.27%","37.22%","36.95%","38.91","3,958.16","3,614.10","50.97","78.00%","91.00%"
"UltraTech Cement","https://scanx.trade/company/ultratech-cement-ltd","12,170.00","0.92%","12,059.00","82,684","3,58,624.55","48.61","29.55","13,097.00","10,047.85","5.86%","-1.43%","14.55%","69.57%","119.39%","4.92","0.64%","11.62%","9.06%","243.84","11,777.22","11,971.52","53.60","78.00%","91.00%"
"NTPC","https://scanx.trade/company/ntpc-ltd","339.05","0.09%","338.80","29,47,420","3,28,765.47","13.46","12.18","371.45","292.80","5.99%","-0.85%","0.89%","100.98%","244.91%","1.71","2.46%","12.31%","9.85%","22.08","329.62","337.34","52.63","76.00%","91.00%"
"Bajaj Finserv","https://scanx.trade/company/bajaj-finserv-ltd","1,957.70","-0.05%","1,964.90","2,76,744","3,12,803.89","16.25","-1.73","2,195.00","1,617.00","-4.21%","-8.51%","12.82%","46.84%","119.02%","4.09","0.05%","15.03%","10.65%","52.25","2,044.56","2,021.92","33.70","76.00%","91.00%"
"Oil & Natural Gas Corporation","https://scanx.trade/company/oil-natural-gas-corporation-ltd","242.23","0.77%","240.00","44,31,740","3,04,732.10","7.05","-99.95","270.47","205.00","4.01%","-2.62%","-10.07%","59.78%","145.05%","0.82","5.10%","15.64%","11.31%","36.35","241.19","241.94","50.68","76.00%","90.18%"
"Adani Ports & SEZ","https://scanx.trade/company/adani-ports-sez-ltd","1,364.50","-0.23%","1,371.70","10,92,996","2,94,750.96","26.35","35.87","1,549.00","1,010.75","-8.81%","-6.99%","18.79%","76.19%","144.27%","4.70","0.48%","15.69%","13.60%","46.34","1,482.37","1,399.94","23.76","75.01%","80.00%"
"Bharat Electronics","https://scanx.trade/company/bharat-electronics-ltd","401.70","-1.87%","406.50","1,08,50,679","2,93,633.82","52.50","24.43","436.00","240.25","2.25%","-3.55%","40.55%","294.60%","789.31%","13.86","0.59%","24.13%","33.72%","5.80","406.98","385.83","51.95","75.80%","87.50%"
"Hindustan Zinc","https://scanx.trade/company/hindustan-zinc-ltd","692.40","1.71%","682.00","1,80,32,617","2,92,561.09","24.36","-91.73","696.90","378.15","17.61%","42.35%","48.74%","96.15%","133.60%","20.99","4.26%","51.06%","62.89%","19.26","553.67","477.56","69.32","58.00%","85.15%"
"Hindustan Aeronautics","https://scanx.trade/company/hal-hindustan-aeronautics-ltd","4,296.60","-1.35%","4,315.00","6,15,180","2,87,345.87","34.36","34.69","5,165.00","3,046.05","-0.20%","-11.59%","2.61%","242.43%","785.84%","7.84","0.92%","26.15%","17.49%","113.89","4,480.55","4,631.30","43.01","74.66%","87.50%"
"JSW Steel","https://scanx.trade/company/jsw-steel-ltd","1,172.60","1.09%","1,163.50","6,67,127","2,86,753.93","46.67","23.12","1,223.90","900.50","8.61%","2.39%","27.57%","58.15%","192.49%","3.42","0.30%","11.25%","7.49%","28.47","1,144.61","1,079.42","51.74","76.00%","90.46%"
"Eternal","https://scanx.trade/company/zomato-ltd","274.75","1.91%","269.25","3,06,28,450","2,65,143.38","1,420.79","35.87","368.45","194.80","-3.95%","-18.75%","14.60%","434.01%","118.06%","8.44","-","1.72%","2.63%","0.68","292.16","284.44","35.66","72.84%","85.55%"
"Vedanta","https://scanx.trade/company/vedanta-ltd","666.10","-0.85%","671.80","85,34,366","2,60,470.95","14.78","-91.73","688.00","363.00","14.53%","40.56%","44.51%","101.30%","283.48%","6.54","6.48%","17.92%","28.36%","13.95","565.97","476.62","75.57","75.86%","87.50%"
"Asian Paints","https://scanx.trade/company/asian-paints-ltd","2,665.80","-0.37%","2,670.00","4,53,164","2,55,702.95","64.71","41.37","2,985.70","2,124.75","-4.79%","5.95%","16.89%","-4.38%","-1.17%","13.10","0.93%","28.61%","23.98%","52.96","2,824.03","2,511.14","36.86","78.00%","91.00%"
"Coal India","https://scanx.trade/company/coal-india-ltd","414.15","-0.28%","414.95","47,21,745","2,55,229.39","8.23","-91.73","442.00","349.25","7.40%","6.03%","7.00%","82.44%","192.69%","2.43","6.38%","44.71%","24.48%","59.34","394.82","390.57","52.85","76.00%","90.77%"
"Bajaj Auto","https://scanx.trade/company/bajaj-auto-ltd","9,120.00","-0.65%","9,150.00","1,77,762","2,54,682.94","30.79","11.47","9,888.00","7,089.35","1.31%","-0.05%","6.74%","155.27%","150.28%","7.51","2.29%","26.61%","24.90%","286.76","9,150.92","8,674.47","43.47","76.00%","90.82%"
"Wipro","https://scanx.trade/company/wipro-ltd","238.65","-0.52%","239.90","85,96,290","2,50,265.54","18.88","32.67","324.60","228.00","-9.76%","-1.07%","-20.52%","18.39%","7.27%","2.94","2.50%","14.88%","18.97%","21.37","256.60","251.80","32.86","76.00%","89.67%"
"Nestle","https://scanx.trade/company/nestle-india-ltd","1,287.40","-0.64%","1,298.90","6,30,843","2,48,251.19","84.63","52.18","1,332.70","1,055.00","3.46%","0.16%","16.30%","34.10%","45.62%","56.31","1.04%","117.72%","59.30%","33.58","1,269.82","1,210.82","53.14","78.00%","91.00%"
"Power Grid Corporation of India","https://scanx.trade/company/power-grid-corporation-of-india-ltd","256.75","1.06%","252.05","86,69,008","2,38,793.00","15.56","12.18","322.00","247.30","-2.54%","-10.91%","-16.16%","53.34%","132.71%","2.39","3.54%","18.53%","12.27%","16.88","266.36","285.80","33.30","76.00%","91.00%"
"Avenue Supermarts DMart","https://scanx.trade/company/dmart-avenue-supermarts-ltd","3,639.60","-0.60%","3,661.60","2,14,869","2,36,840.81","83.18","26.31","4,949.50","3,340.00","-4.71%","-14.87%","0.69%","3.58%","31.63%","10.41","-","13.56%","16.93%","40.74","3,878.61","4,181.47","35.92","76.00%","87.50%"
"Adani Enterprises","https://scanx.trade/company/adani-enterprises-ltd","2,035.90","-0.93%","2,056.50","7,87,061","2,34,979.65","27.48","26.31","2,612.78","1,964.72","-9.07%","-17.59%","-14.03%","-39.24%","284.08%","4.39","0.06%","7.45%","10.92%","37.44","2,268.90","2,355.71","27.01","71.37%","80.00%"
"Tata Steel","https://scanx.trade/company/tata-steel-ltd","182.50","-0.58%","183.56","2,18,64,632","2,27,824.37","34.23","23.12","191.00","124.74","8.19%","6.14%","38.61%","48.43%","164.42%","2.45","1.96%","-5.31%","8.15%","1.60","174.04","163.46","56.88","76.00%","89.32%"
"Indian Oil Corporation","https://scanx.trade/company/indian-oil-corporation-ltd","158.00","-0.27%","158.43","61,66,136","2,23,115.57","8.77","10.47","174.50","110.72","-2.83%","2.70%","21.07%","90.59%","141.11%","1.13","1.85%","22.94%","9.53%","21.83","164.39","149.83","42.69","76.00%","87.50%"
"Hindalco Industries","https://scanx.trade/company/hindalco-industries-ltd","934.75","0.72%","928.75","31,19,347","2,10,059.50","11.74","89.67","970.80","546.45","9.71%","18.87%","51.22%","90.78%","270.79%","1.55","0.53%","9.57%","12.85%","48.78","850.75","734.31","60.22","76.00%","89.29%"
"SBI Life Insurance","https://scanx.trade/company/sbi-life-insurance-ltd","2,051.10","0.10%","2,038.20","5,31,884","2,05,690.43","83.74","-1.73","2,109.60","1,372.55","1.12%","11.49%","36.77%","58.25%","128.73%","11.23","0.13%","12.70%","0.56%","20.29","2,025.99","1,848.88","50.26","78.00%","91.00%"
"Eicher Motors","https://scanx.trade/company/eicher-motors-ltd","7,090.50","-1.16%","7,100.50","2,66,980","1,94,491.87","38.53","43.04","7,613.50","4,646.00","-1.75%","1.10%","41.34%","125.06%","146.07%","8.91","0.98%","22.17%","26.14%","152.70","7,185.19","6,268.28","41.20","78.00%","91.00%"
"Interglobe Aviation","https://scanx.trade/company/indigo-interglobe-aviation-ltd","4,843.50","1.12%","4,784.50","6,30,960","1,87,245.16","36.25","5.94","6,232.50","3,945.00","-6.02%","-18.38%","17.72%","130.66%","190.66%","21.46","0.21%","409.35%","15.53%","202.26","5,284.23","5,542.11","36.99","76.00%","80.00%"
"Grasim Industries","https://scanx.trade/company/grasim-industries-ltd","2,741.60","1.03%","2,718.90","2,35,639","1,86,571.84","20.57","4.10","2,977.80","2,301.65","-2.52%","-3.94%","14.14%","66.28%","166.02%","1.85","0.37%","7.14%","5.94%","85.43","2,782.69","2,761.07","35.53","78.00%","91.00%"
"Shriram Finance","https://scanx.trade/company/shriram-transport-finance-company-ltd","981.80","-0.58%","982.55","41,32,719","1,84,712.13","18.81","-1.73","1,025.60","493.35","8.88%","41.48%","90.01%","284.33%","293.44%","3.06","1.00%","14.88%","10.65%","201.17","897.81","714.94","61.16","75.03%","87.13%"
"LTI Mindtree","https://scanx.trade/company/lti-larsen-toubro-infotech-ltd","5,805.00","-2.87%","5,900.50","4,27,437","1,72,112.01","37.52","32.67","6,429.50","3,802.00","-6.33%","3.73%","-0.35%","36.01%","41.90%","7.57","1.09%","22.89%","26.33%","154.11","6,073.57","5,357.97","45.07","76.00%","87.50%"
"TVS Motors","https://scanx.trade/company/tvs-motors-ltd","3,562.20","-1.48%","3,599.90","4,58,295","1,69,235.53","61.75","43.04","3,909.00","2,192.75","-2.83%","-2.46%","55.35%","267.27%","599.36%","21.17","0.28%","23.68%","22.61%","36.05","3,624.75","3,180.94","41.67","76.00%","87.50%"
"Jio Financial Services","https://scanx.trade/company/jio-financial-services-ltd","265.45","-0.02%","265.30","1,26,67,781","1,68,644.14","104.98","-1.73","338.60","198.65","-10.61%","-14.56%","-3.72%","6.65%","6.65%","1.25","0.19%","1.15%","1.49%","2.50","298.14","296.90","25.25","75.00%","87.50%"
"Tech Mahindra","https://scanx.trade/company/tech-mahindra-ltd","1,673.80","-0.28%","1,678.50","9,97,517","1,63,985.76","35.82","32.67","1,736.40","1,209.40","3.80%","15.88%","-0.05%","59.94%","64.19%","5.97","2.68%","8.83%","18.78%","25.74","1,557.01","1,523.04","61.93","76.00%","90.41%"
"Varun Beverages","https://scanx.trade/company/varun-beverages-ltd","479.25","-2.01%","481.35","26,54,609","1,62,081.81","55.15","17.44","592.95","419.55","2.10%","5.02%","-13.32%","94.40%","488.04%","9.00","0.20%","29.67%","20.86%","18.65","477.46","484.17","50.21","75.00%","87.50%"
"Divis Laboratories","https://scanx.trade/company/divis-laboratories-ltd","6,027.50","0.24%","6,005.00","1,33,326","1,60,011.19","64.20","40.85","7,071.50","4,955.00","-6.96%","-8.73%","0.45%","80.29%","67.17%","10.35","0.50%","11.79%","18.85%","63.06","6,431.11","6,340.76","29.62","76.00%","87.50%"
"Muthoot Finance","https://scanx.trade/company/muthoot-finance-ltd","3,952.50","0.56%","3,934.50","3,78,462","1,58,680.42","21.85","-1.73","3,995.00","1,965.00","4.53%","18.97%","84.51%","275.55%","226.45%","4.81","0.66%","16.57%","13.76%","111.25","3,763.25","2,920.40","60.20","76.00%","87.50%"
"HDFC Life Insurance","https://scanx.trade/company/hdfc-life-insurance-ltd","730.60","-0.20%","727.55","22,06,398","1,57,635.41","83.53","-1.73","820.75","595.25","-4.68%","-1.57%","15.23%","23.72%","3.93%","8.97","0.29%","10.73%","0.60%","7.61","760.83","756.32","38.02","78.00%","91.00%"
"Bank of Baroda","https://scanx.trade/company/bank-of-baroda-ltd","299.50","-0.84%","301.40","45,34,398","1,54,882.30","8.07","9.89","313.35","190.70","2.55%","10.33%","29.03%","66.99%","276.97%","0.98","2.76%","15.25%","5.69%","36.82","292.59","257.75","55.00","76.00%","87.50%"
"DLF","https://scanx.trade/company/dlf-ltd","615.85","0.48%","615.00","26,60,039","1,52,442.28","35.30","-2.17","886.80","601.20","-10.90%","-20.43%","-19.03%","66.76%","112.03%","3.52","0.98%","4.13%","5.62%","11.50","703.97","748.25","19.85","76.00%","87.50%"
"Bharat Petroleum","https://scanx.trade/company/bharat-petroleum-ltd","348.60","-1.86%","354.00","31,57,622","1,51,240.30","7.26","10.47","388.15","234.01","-4.74%","3.23%","25.71%","101.29%","68.46%","1.64","2.77%","35.51%","17.05%","44.92","364.99","333.50","42.34","76.00%","87.50%"
"IRFC","https://scanx.trade/company/indian-railway-finance-corp-ltd","114.82","-1.13%","116.13","1,51,31,715","1,50,052.59","21.67","-180.99","155.52","108.04","0.74%","-8.20%","-21.73%","246.89%","362.98%","2.68","1.38%","13.04%","5.81%","4.93","119.53","127.33","39.66","72.21%","85.34%"
"Pidilite Industries","https://scanx.trade/company/pidilite-industries-ltd","1,427.20","-0.56%","1,424.20","2,36,695","1,45,248.15","65.01","196.80","1,574.95","1,311.10","-2.13%","-6.49%","2.39%","18.80%","62.31%","15.29","0.70%","20.28%","26.80%","36.93","1,473.39","1,499.23","36.76","78.00%","87.50%"
"Adani Green Energy","https://scanx.trade/company/adani-green-energy-ltd","876.40","-0.77%","885.50","14,40,809","1,44,358.52","62.56","12.18","1,177.55","758.00","-14.15%","-15.25%","-17.84%","-55.64%","-14.09%","7.45","-","7.22%","8.15%","8.71","1,014.88","996.61","20.31","68.03%","80.00%"
"Punjab National Bank","https://scanx.trade/company/punjab-national-bank-ltd","124.31","-1.16%","125.30","98,06,673","1,42,868.78","8.07","9.89","135.15","85.46","3.75%","5.26%","23.08%","118.28%","236.43%","1.03","2.31%","8.25%","5.75%","10.66","122.43","110.94","54.26","76.00%","87.50%"
"Britannia Industries","https://scanx.trade/company/britannia-industries-ltd","5,851.50","-0.55%","5,870.00","1,00,046","1,40,944.08","61.21","52.18","6,336.00","4,506.00","-4.12%","-3.60%","19.78%","35.48%","62.89%","37.98","1.27%","53.81%","58.72%","91.68","5,943.61","5,748.91","42.14","78.00%","87.50%"
"Cholamandalam Investment","https://scanx.trade/company/cholamandalam-investment-ltd","1,629.90","-1.21%","1,640.00","3,62,721","1,37,539.68","29.98","-1.73","1,831.50","1,169.80","-1.10%","-2.59%","30.72%","130.78%","256.30%","5.10","0.12%","17.41%","9.61%","43.53","1,709.11","1,600.06","39.19","75.93%","87.50%"
"Canara Bank","https://scanx.trade/company/canara-bank-ltd","150.91","-1.80%","152.80","1,40,36,057","1,36,885.20","7.96","9.89","159.10","78.60","1.57%","18.28%","49.36%","136.57%","431.56%","1.28","2.60%","15.87%","6.11%","17.21","149.53","120.97","55.76","76.00%","87.50%"
"Torrent Pharmaceuticals","https://scanx.trade/company/torrent-pharmaceuticals-ltd","3,960.80","-0.40%","3,960.00","1,52,812","1,34,051.47","62.86","20.74","4,107.20","2,886.45","4.22%","10.93%","25.17%","150.36%","191.00%","15.92","0.15%","24.16%","28.48%","49.44","3,829.01","3,525.36","56.71","78.00%","87.50%"
"Trent","https://scanx.trade/company/trent-ltd","3,751.70","-2.20%","3,836.00","8,12,347","1,33,368.23","84.84","26.31","6,270.40","3,819.30","-7.64%","-21.88%","-38.40%","217.32%","451.76%","22.33","0.13%","36.01%","29.27%","35.43","4,182.55","5,005.45","34.46","72.77%","85.51%"
"Ambuja Cements","https://scanx.trade/company/ambuja-cements-ltd","537.80","0.28%","534.00","10,05,808","1,32,934.67","18.33","29.55","624.95","455.00","-0.34%","-4.90%","0.46%","3.87%","105.19%","2.35","0.37%","9.32%","9.15%","12.66","548.47","563.46","41.80","76.00%","87.50%"
"Union Bank of India","https://scanx.trade/company/union-bank-of-india-ltd","172.81","-1.66%","174.76","96,48,555","1,31,916.34","7.08","9.89","182.90","104.47","12.19%","22.27%","54.81%","112.69%","433.36%","1.07","2.71%","14.05%","6.23%","18.56","156.27","142.14","69.99","73.93%","86.43%"
"Godrej Consumer Products","https://scanx.trade/company/godrej-consumer-products-ltd","1,228.20","-0.49%","1,235.00","1,79,097","1,25,674.90","69.22","88.96","1,309.00","979.50","3.54%","8.07%","5.28%","31.72%","53.32%","10.37","2.03%","-4.45%","23.72%","17.15","1,176.54","1,204.51","60.32","76.00%","87.50%"
"Tata Motors Passenger Vehicles","https://scanx.trade/company/tata-motors-passenger-vehicles-ltd","340.70","0.84%","336.00","50,95,096","1,25,465.48","1.32","36.34","476.21","324.33","-3.39%","-14.77%","-27.32%","39.60%","104.72%","1.12","1.77%","34.17%","18.34%","102.18","361.04","399.52","30.74","76.00%","89.08%"
"Bajaj Holdings & Investments","https://scanx.trade/company/bajaj-holdings-and-investments-ltd","10,620.00","0.57%","10,561.00","29,466","1,18,193.71","13.51","-1.73","14,763.00","10,400.00","-4.74%","-15.75%","-2.23%","90.28%","227.05%","1.73","0.88%","11.70%","8.98%","670.52","11,305.26","12,627.41","32.06","68.52%","87.12%"
"Power Finance Corporation","https://scanx.trade/company/power-finance-corporation-ltd","356.80","-1.03%","359.10","34,99,280","1,17,747.63","3.61","-180.99","444.10","329.90","5.34%","-10.34%","-18.33%","196.54%","267.23%","0.94","4.38%","19.70%","9.24%","62.81","360.22","396.49","47.54","72.83%","86.55%"
"Tata Consumer Products","https://scanx.trade/company/tata-consumer-products-ltd","1,177.30","-0.65%","1,180.50","3,92,594","1,16,499.05","85.72","-11.05","1,220.90","930.10","-0.57%","0.08%","22.60%","61.41%","99.77%","5.77","0.70%","7.46%","7.91%","13.53","1,172.15","1,125.41","51.40","78.00%","91.00%"
"Samvardhana Motherson International","https://scanx.trade/company/motherson-sumi-systems-ltd","108.36","0.44%","106.32","90,56,599","1,14,367.94","32.10","173.46","124.71","71.50","-10.43%","2.45%","8.11%","122.64%","85.55%","3.07","0.53%","10.70%","14.07%","4.75","115.64","103.12","27.54","75.72%","87.39%"
"Indian Bank","https://scanx.trade/company/indian-bank-ltd","842.45","-0.49%","847.00","6,36,948","1,13,474.98","10.10","9.89","894.85","478.00","7.81%","3.52%","58.30%","193.64%","777.55%","1.63","1.92%","13.49%","5.89%","67.86","832.65","701.39","55.62","75.78%","87.50%"
"Solar Industries","https://scanx.trade/company/solar-industries-ltd","12,526.00","-0.56%","12,578.00","55,730","1,13,347.84","81.49","196.80","17,820.00","8,482.50","5.16%","-11.06%","28.49%","194.77%","955.04%","22.27","0.08%","25.54%","30.18%","102.22","12,911.32","14,095.87","46.65","74.84%","86.95%"
"Tata Power","https://scanx.trade/company/tata-power-ltd","349.85","-0.88%","351.95","24,79,646","1,11,788.95","22.58","12.18","416.80","326.35","-8.07%","-12.49%","-6.57%","68.85%","312.56%","3.00","0.64%","11.17%","9.90%","11.48","381.33","389.49","29.01","76.00%","87.50%"
