 Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"SBI Cards","https://scanx.trade/company/sbi-cards-ltd","799.00","-1.58%","804.45","7,05,086","76,028.65","40.24","-1.73","1,027.25","721.00","-8.19%","-14.81%","4.92%","6.19%","-19.99%","5.22","0.31%","19.93%","20.03%","25.33","866.21","882.55","32.58","76.00%","87.50%"
"PB FinTech","https://scanx.trade/company/policy-bazaar-ltd","1,631.20","-1.69%","1,659.20","5,40,654","75,471.50","166.12","34.22","1,978.00","1,311.35","-13.64%","-0.73%","-6.78%","275.51%","35.67%","11.33","-","-8.90%","6.22%","2.28","1,809.94","1,773.35","36.42","70.00%","84.56%"
"Hitachi Energy","https://scanx.trade/company/abb-power-products-systems-ltd","16,744.00","0.69%","16,650.00","86,513","74,631.96","103.32","1.88","22,840.00","8,801.00","-9.76%","-4.06%","29.73%","418.57%","1,203.39%","16.17","0.04%","12.04%","13.08%","40.53","19,682.56","18,310.75","35.19","50.00%","80.18%"
"AU Small Finance Bank","https://scanx.trade/company/au-small-finance-bank-ltd","986.55","-1.47%","1,009.00","32,21,334","73,688.58","34.40","8.47","1,029.95","478.35","0.14%","14.03%","62.80%","60.06%","114.38%","4.12","0.10%","38.28%","16.45%","23.05","964.78","795.10","54.55","76.00%","87.50%"
"Bank of India","https://scanx.trade/company/bank-of-india-ltd","158.18","-0.98%","160.00","1,08,06,141","72,014.10","7.53","9.89","165.33","92.66","10.45%","21.89%","55.58%","75.37%","193.74%","0.97","2.54%","9.28%","5.62%","15.14","145.69","125.34","68.70","70.00%","87.39%"
"L&T Finance","https://scanx.trade/company/lt-finance-holdings-ltd","282.90","-3.71%","293.25","79,68,417","70,799.34","26.17","-1.73","329.45","131.05","-5.79%","5.74%","95.82%","198.73%","192.89%","2.79","0.93%","9.85%","10.60%","9.93","302.54","231.95","42.34","75.00%","87.45%"
"Oil India","https://scanx.trade/company/oil-india-ltd","432.30","0.77%","426.50","15,12,966","70,318.25","10.49","-99.95","491.50","325.00","6.73%","6.23%","-10.64%","175.30%","458.02%","1.24","2.68%","23.55%","11.77%","51.54","419.86","419.24","52.55","72.79%","86.34%"
"Indusind Bank","https://scanx.trade/company/indusind-bank-ltd","901.95","-0.35%","908.00","15,02,057","70,268.76","-92.82","8.47","1,086.55","606.00","6.78%","18.72%","-7.08%","-24.99%","-4.83%","1.09","-","14.20%","5.98%","115.87","862.79","807.27","55.08","70.00%","85.35%"
"Waaree Energies","https://scanx.trade/company/waaree-energies-ltd","2,438.30","-2.72%","2,500.00","11,36,820","70,135.48","25.63","1.88","3,865.00","1,863.00","-19.41%","-30.47%","-7.45%","4.25%","4.25%","6.25","-","-","24.78%","-","2,983.02","3,027.07","25.80","50.00%","83.46%"
"IDFC First Bank","https://scanx.trade/company/idfc-first-bank-ltd","81.17","-1.12%","81.71","1,41,59,461","69,764.74","49.13","8.47","87.00","52.46","-4.15%","5.51%","27.19%","36.76%","57.76%","1.34","0.26%","9.12%","5.55%","3.82","82.39","73.47","42.41","76.00%","87.50%"
"NMDC","https://scanx.trade/company/nmdc-ltd","78.16","-0.86%","78.41","1,37,37,908","68,716.85","9.87","-91.73","86.72","59.53","2.44%","3.88%","16.47%","83.99%","174.05%","2.14","4.19%","24.47%","29.74%","20.82","78.29","72.99","44.34","75.15%","87.50%"
"Nykaa","https://scanx.trade/company/nykaa-ltd","239.85","-1.03%","241.05","34,08,936","68,638.41","672.92","26.31","273.22","154.90","-3.69%","-6.85%","39.29%","88.56%","-34.76%","49.96","-","1.78%","12.91%","0.14","258.69","227.10","31.44","75.00%","87.50%"
"Yes Bank","https://scanx.trade/company/yes-bank-ltd","21.83","0.60%","21.68","8,44,00,497","68,497.19","21.42","8.47","24.30","16.02","0.60%","-3.58%","15.32%","10.53%","23.68%","1.35","-","3.05%","5.95%","0.46","22.35","20.75","42.43","70.00%","86.91%"
"Alkem Laboratories","https://scanx.trade/company/alkem-laboratories-ltd","5,639.50","-1.42%","5,680.50","40,630","67,428.68","28.37","17.88","5,933.50","4,491.65","1.51%","1.48%","7.67%","85.97%","82.91%","5.12","0.79%","16.91%","19.29%","179.80","5,665.96","5,288.07","52.47","78.00%","87.50%"
"Federal Bank","https://scanx.trade/company/federal-bank-ltd","272.05","-0.44%","271.10","54,96,224","67,004.44","15.94","8.47","280.25","172.66","1.57%","19.80%","40.21%","102.64%","251.94%","1.85","0.44%","12.70%","6.45%","16.45","256.91","217.12","60.99","76.00%","87.50%"
"Oracle Financial Services Software","https://scanx.trade/company/oracle-financial-services-software-ltd","7,682.50","-1.82%","7,750.00","1,03,476","66,850.73","28.69","32.67","10,265.00","7,038.00","-1.80%","-10.52%","-23.31%","152.49%","129.67%","9.24","3.38%","28.24%","36.86%","269.28","7,951.32","8,478.29","50.51","75.09%","87.11%"
